_id,livraison,livraison_url,name,prix,prix_url,reduction,reduction_url,url
633ee895d18d15101740008f,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/redmi-9a-6.53-2go-32go-13mp5mp-android-bleu-xiaomi-mpg960704.html,"XIAOMI Redmi 9A 6.53"" (2Go, 32Go) 13MP/5MP Android - Bleu - 1 an de garantie","1,169.00 Dhs",https://www.jumia.ma/redmi-9a-6.53-2go-32go-13mp5mp-android-bleu-xiaomi-mpg960704.html,,,https://www.jumia.ma/redmi-9a-6.53-2go-32go-13mp5mp-android-bleu-xiaomi-mpg960704.html
633ee895d18d151017400090,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html,Samsung Galaxy A03 (4Go Ram - 64Go ROM) - Noir,"1,329.00 Dhs",https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html,7%,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html
633ee895d18d151017400091,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html,Samsung Galaxy A03 (4Go Ram - 64Go ROM) - Bleu,"1,329.00 Dhs",https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html,7%,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html
633ee895d18d151017400092,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/xiaomi-redmi-9a-6.53-2go-32go-13mp5mp-android-gris-1-an-de-garantie-43053997.html,"XIAOMI Redmi 9A 6.53"" (2Go, 32Go) 13MP/5MP Android - Gris - 1 an de garantie","1,169.00 Dhs",https://www.jumia.ma/xiaomi-redmi-9a-6.53-2go-32go-13mp5mp-android-gris-1-an-de-garantie-43053997.html,,,https://www.jumia.ma/xiaomi-redmi-9a-6.53-2go-32go-13mp5mp-android-gris-1-an-de-garantie-43053997.html
633ee895d18d151017400093,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-black-samsung-mpg1346945.html,"Samsung Galaxy A23 6.6"" LTE 4GB RAM + 128GB ROM - 50 Mpx - Black","2,166.00 Dhs",https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-black-samsung-mpg1346945.html,21%,https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-black-samsung-mpg1346945.html,https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-black-samsung-mpg1346945.html
633ee895d18d151017400094,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-blue-samsung-mpg1346942.html,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx - Blue","1,772.00 Dhs",https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-blue-samsung-mpg1346942.html,21%,https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-blue-samsung-mpg1346942.html,https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-blue-samsung-mpg1346942.html
633ee895d18d151017400095,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-white-samsung-mpg1346944.html,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx - White","1,772.00 Dhs",https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-white-samsung-mpg1346944.html,21%,https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-white-samsung-mpg1346944.html,https://www.jumia.ma/galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-white-samsung-mpg1346944.html
633ee895d18d151017400096,,,"XIAOMI Redmi Note 10 - 5G (4Go, 128Go) 48MP+2MP+2MP - Android - Gris +Kit+ Band","2,149.00 Dhs",https://www.jumia.ma/redmi-note-10-5g-4go-128go-48mp2mp2mp-android-gris-kit-band-xiaomi-mpg1039149.html,,,https://www.jumia.ma/redmi-note-10-5g-4go-128go-48mp2mp2mp-android-gris-kit-band-xiaomi-mpg1039149.html
633ee895d18d151017400097,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-blue-samsung-mpg1346946.html,"Samsung Galaxy A23 6.6"" LTE 4GB RAM + 128GB ROM - 50 Mpx - Blue","2,166.00 Dhs",https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-blue-samsung-mpg1346946.html,21%,https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-blue-samsung-mpg1346946.html,https://www.jumia.ma/galaxy-a23-6.6-lte-4gb-ram-128gb-rom-50-mpx-blue-samsung-mpg1346946.html
633ee895d18d151017400098,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/xiaomi-12-pro-673-12gb-256gb-50mpx-purple-1-an-de-garantie-51008042.html,"XIAOMI 12 PRO - 6,73'' - 12GB 256GB - 50Mpx - PURPLE - 1 an de garantie","10,050.00 Dhs",https://www.jumia.ma/xiaomi-12-pro-673-12gb-256gb-50mpx-purple-1-an-de-garantie-51008042.html,,,https://www.jumia.ma/xiaomi-12-pro-673-12gb-256gb-50mpx-purple-1-an-de-garantie-51008042.html
